tweet_id;screenname;city;date;text;source;reply_to;is_quote;retweetet_count;favorited_count;hashtags;retweeted_text;retweeted_user;is_retweet
930502136743546880;Essen_Ruhr;Essen;2017-11-14 18:26:11;b'@gerritross Das w\xc3\xbcrden wir Ihnen gerne beantworten! Jedoch steckt unser zust\xc3\xa4ndiger Experte noch im Verkehr fest.. \xf0\x9f\x98\x89';SocialHub by maloon;gerritross;False;0;0;;;;False
930447537231880192;Essen_Ruhr;Essen;2017-11-14 14:49:14;b'Gleich (16 Uhr) trifft sich der Jugendhilfeausschuss zur 19. Sitzung https://t.co/yBHDQ4ma1I #EssenPolitik';SocialHub by maloon;;False;0;0;EssenPolitik;;;False
930419351110504448;Essen_Ruhr;Essen;2017-11-14 12:57:14;b'Heute um 16 Uhr: Sitzung des Finanzausschusses im Sitzungssaal Sunderland. https://t.co/ZiHsNwYAil #EssenPolitik';SocialHub by maloon;;False;0;0;EssenPolitik;;;False
930375562455076865;Essen_Ruhr;Essen;2017-11-14 10:03:14;b'Einen gef\xc3\xbchrten Rundgang durch die Neue #Synagoge bietet @essenmarketing am 23.11. an: https://t.co/yW8dclkvoS';SocialHub by maloon;;False;1;2;Synagoge;;;False
930153598281011201;Essen_Ruhr;Essen;2017-11-13 19:21:13;b'#EBombe : Vielen Dank an alle Helfer! Insbesondere an die ehrenamtlichen Kr\xc3\xa4fte! @asb_de @DRK_Essen @malteseressen @THWOVEssen #Johanniter';SocialHub by maloon;;False;2;15;EBombe,Johanniter;;;False
930153353740541959;Essen_Ruhr;Essen;2017-11-13 19:20:15;b'ENTWARNUNG! Die #EBombe in #S\xc3\xbcdviertel konnte erfolgreich entsch\xc3\xa4rft werden. Sperrungen werden in K\xc3\xbcrze aufgehoben. https://t.co/RTMIqXfyCJ';SocialHub by maloon;;False;6;24;EBombe,Südviertel;;;False
930148865172484096;Essen_Ruhr;Essen;2017-11-13 19:02:25;b'@der_Dennis Dankesch\xc3\xb6n! :)';SocialHub by maloon;der_Dennis;False;0;0;;;;False
930145442888933377;Essen_Ruhr;Essen;2017-11-13 18:48:49;b'@TOReinhold Leider nicht. Aktuell l\xc3\xa4uft die Entsch\xc3\xa4rfung, es kann also nicht mehr lange dauern. Viele Gr\xc3\xbc\xc3\x9fe, ^s';SocialHub by maloon;TOReinhold;False;0;0;;;;False
930139614857388033;Essen_Ruhr;Essen;2017-11-13 18:25:39;b'@DiggaTimeTV Das k\xc3\xb6nnen wir leider nicht genau sagen. Das ist von Mal zu Mal unterschiedlich. Viele Gr\xc3\xbc\xc3\x9fe, ^s';SocialHub by maloon;DiggaTimeTV;False;0;0;;;;False
930131438896283652;Essen_Ruhr;Essen;2017-11-13 17:53:10;b'@glasspider64 Wir bedauern sehr, dass es aktuell technisch nicht anders m\xc3\xb6glich ist. Daf\xc3\xbcr stehen wir aber jeder Frage Rede und Antwort. Viele Gr\xc3\xbc\xc3\x9fe, ^s';SocialHub by maloon;glasspider64;False;0;1;;;;False
