Kommune/Kreis;Bezeichnung;Zugehörigkeit Kreis;Anrede;Titel HVB;HVB/Vorname;HVB/Name;PPZ;Postfach;PLZ;Ort;Strasse;Telefon;Telefax;Internet;E-Mail;AGS;Reg-Bez
Aachen;kreisfreie Stadt;;Herrn;Oberbürgermeister;Marcel;Philipp;;;52062;Aachen;Katschhof;0241 432-0;0241 432-8000;www.aachen.de;oberbuergermeister@mail.aachen.de;05334002;Köln
Städteregion Aachen;Städteregion;;Herrn;Städteregionsrat;Helmut;Etschenberg;52088;Postfach 500451;52070;Aachen;Zollernstr.10;0241 5198-1;0241 533190;www.staedteregion-aachen.de;info@staedteregion-aachen.de;05334000;Köln
Ahaus;Mittlere kreisangehörige Stadt;Borken;Frau;Bürgermeisterin;Karola Maria;Voß;48664;Postfach 1462;48683;Ahaus;Rathausplatz 1;02561/720;02561/72100;www.ahaus.de;info@ahaus.de;05554004;Münster
Ahlen;Mittlere kreisangehörige Stadt;Warendorf;Herrn;Bürgermeister;Dr. Alexander;Berger;59212;Postfach 2551;59227;Ahlen;Westenmauer 10;02382/590;02382/59465;www.ahlen.de;info@stadt.ahlen.de;05570004;Münster
Aldenhoven;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Ralf;Claßen;52447;Postfach 1363;52457;Aldenhoven;Dietrich-Mülfahrt-Str.11-13;02464/5860;02464/586222;www.aldenhoven.de;gemeinde@aldenhoven.de;05358004;Köln
Alfter;kreisangehörige Gemeinde;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Dr. Rolf;Schumacher;;;53347;Alfter;Am Rathaus 7;0228/64840;0228/6484199;www.alfter.de;rathaus@alfter.de;05382004;Köln
Alpen;kreisangehörige Gemeinde;Wesel;Herrn;Bürgermeister;Thomas;Ahls;46515;Postfach 1140;46519;Alpen;Rathausstr. 3-5;02802/9120;02802/912912;www.alpen.de;info@alpen.de;05170004;Düsseldorf
Alsdorf;Mittlere kreisangehörige Stadt;Städteregion Aachen;Herrn;Bürgermeister;Alfred;Sonders;52463;Postfach 1340;52477;Alsdorf;Hubertusstr.17;02404/500;02404/22640;www.alsdorf.de;info@alsdorf.de;05334004;Köln
Altena;Mittlere kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Dr. Andreas;Hollstein;58746;Postfach 1654;58762;Altena;Lüdenscheider Str. 22;02352/2090;02352/209203;www.altena.de;post@altena.de;05962004;Arnsberg
Altenbeken;kreisangehörige Gemeinde;Paderborn;Herrn;Bürgermeister;Hans Jürgen;Wessels;33182;Postfach 1153;33184;Altenbeken;Bahnhofstr 5a;05255/12000;05255/120033;www.altenbeken.de;markus.raabe@altenbeken.de;05774004;Detmold
Altenberge;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Jochen;Paus;48338;Postfach 1262;48341;Altenberge;Kirchstr. 25;02505/820;02505/8240;www.altenberge.de;gemeinde@altenberge.de;05566004;Münster
Anröchte;kreisangehörige Gemeinde;Soest;Herrn;Bürgermeister;Alfred;Schmidt;59603;Postfach 1162;59609;Anröchte;Hauptstraße74;02947/888-0;02947/888-180;www.anroechte.de;post@anroechte.de;05974004;Arnsberg
