Münster;Bürgermeister;Berger;Dr. Alexander;Warendorf;;Postfach 2551;59212;Ahlen;02382/590;02382/59465;www.ahlen.de;info@stadt.ahlen.de
Köln;Bürgermeister;Claßen;Ralf;Düren;;Postfach 1363;52447;Aldenhoven;02464/5860;02464/586222;www.aldenhoven.de;gemeinde@aldenhoven.de
Köln;Bürgermeister;Schumacher;Dr. Rolf;Rhein-Sieg-Kreis;;Am Rathaus 7;53347;Alfter;0228/64840;0228/6484199;www.alfter.de;gerd.zwick@alfter.de
Düsseldorf;Bürgermeister;Ahls;Thomas;Wesel;;Postfach 1140;46515;Alpen;02802/9120;02802/912912;www.alpen.de;info@alpen.de
Köln;Bürgermeister;Sonders;Alfred;Städteregion Aachen;;Postfach 1340;52463;Alsdorf;02404/500;02404/22640;www.alsdorf.de;info@alsdorf.de
Arnsberg;Bürgermeister;Hollstein;Dr. Andreas;Märkischer Kreis;;Postfach 1654;58746;Altena;02352/2090;02352/209203;www.altena.de;post@altena.de
Detmold;Bürgermeister;Wessels;Hans Jürgen;Paderborn;;Postfach 1153;33182;Altenbeken;05255/12000;05255/120033;www.altenbeken.de;markus.raabe@altenbeken.de
Münster;Bürgermeister;Paus;Jochen;Steinfurt;;Postfach 1262;48338;Altenberge;02505/820;02505/8240;www.altenberge.de;gemeinde@altenberge.de
Arnsberg;Bürgermeister;Schmidt;Alfred;Soest;;Postfach 1162;59603;Anröchte;02947/888-0;02947/888-180;www.anroechte.de;post@anroechte.de
Arnsberg;Bürgermeister;Vogel;Hans-Josef;Hochsauerland;;Rathausplatz 1;59759;Arnsberg;02932/2010;02932/25250;www.arnsberg.de;stadt@arnsberg.de
Münster;Bürgermeister;Risthaus;Dr. Bert;Coesfeld;;Postfach 2154;59383;Ascheberg;02593/6090;02593/60919;www.ascheberg.de;gemeinde@ascheberg.de
Arnsberg;Bürgermeister;Pospischil;Christian;Olpe;;Postfach 420 /429;57428;Attendorn;02722/640;02722/64421;www.attendorn.de;stadt@attendorn.de
Detmold;Bürgermeister;Wulf;Dr. Andreas Jürgen;Lippe;;Postfach 1140;32826;Augustdorf;05237/97100;05237/971037;www.augustdorf.de;info@augustdorf.de
Arnsberg;Bürgermeister;Fuhrmann;Bernd;Siegen-Wittgenstein;;Postfach 1680;57306;Bad Berleburg;02751/9230;02751/923288;www.bad-berleburg.de;info@bad-berleburg.de
Detmold;Bürgermeister;Deppe;Burkhard;Höxter;;Postfach 1469;33004;Bad Driburg;05253/880;05253/88135;www.bad-driburg.de;info@bad-driburg.de
Köln;Bürgermeister;Neuhoff;Otto;Rhein-Sieg-Kreis;;Postfach 1740;53587;Bad Honnef;02224/1840;02224/184115;www.bad-honnef.de;info@bad-honnef.de
Arnsberg;Bürgermeister;Spillmann;Dr. Torsten;Siegen-Wittgenstein;;Postfach 101462;57326;Bad Laasphe;02752/9090;02752/90999;www.bad-laasphe.de;post@bad-laasphe.de
Detmold;Bürgermeister;Bee;Andreas;Paderborn;;Postfach 1480;33169;Bad Lippspringe;05252/260;05252/26166;www.bad-lippspringe.de;info@bad-lippspringe.de
Detmold;Bürgermeister;Wilmsmeier;Achim;Minden-Lübbecke;;Postfach 101245;32512;Bad Oeynhausen;05731/140;05731/141900;www.badoeynhausen.de;Info@badoeynhausen.de
Detmold;Bürgermeister;Thomas;Roland;Lippe;;Rudolph-Brandes-Allee 19;32105;Bad Salzuflen;05222/9520;05222/952161;www.bad-salzuflen.de;stadt@bad-salzuflen.de
Arnsberg;Bürgermeister;Dahlhoff;Malte;Soest;;Postfach 1140;59499;Bad Sassendorf;02921/5050;02921/50559;www.bad-sassendorf.de;post@bad-sassendorf.de
